pdv_id,pdv,cidade,tipologia,vendedor,supervisor,regime_compra,mes_entrada,caso_plantado,mes_inicio_caso
973,Ponto do Lanche Nascente,Porto Bandeira,Lanchonete,Geraldo Cavalcanti,Mariana Cunha,mensal,2021-08,normal,
974,Buffet Porto Seguro Velho,Porto Bandeira,Buffet e Eventos,Helena Gonçalves,André Santos,ciclico,2023-04,normal,
975,Mercado Santa Clara 2,Tabuleiro Alto,Minimercado,Simone Maia,André Santos,mensal,2023-02,normal,
976,Supermercado Cerrado,Piraquara do Oeste,Supermercado,Débora Maia,Eduardo Cardoso,mensal,2021-08,atrito,
977,Supermercado Paraíso,Ipê Sereno,Supermercado,Sandra Cardoso,André Santos,esporadico,2022-12,normal,
978,Burger Quintal,Vista Alegre do Ipê,Hamburgueria,Yara Santos,Eduardo Cardoso,mensal,2024-02,normal,
979,Pizzaria Recanto 3,Figueira Branca,Pizzaria,Igor Bezerra,Amanda Machado,mensal,2021-08,normal,
980,Loja Sol Nascente,Riozinho Claro,Loja de Conveniência,Yara Santos,Eduardo Cardoso,esporadico,2021-08,atrito,
981,Super Girassol 2,Tabuleiro Alto,Supermercado,Vanessa Teixeira,Sérgio Gonçalves,ciclico,2025-01,normal,
982,Panificadora Bandeirante,Vista Alegre do Ipê,Padaria,Nelson Nunes,Eduardo Cardoso,mensal,2023-07,atrito,
983,Panificadora Nova Era,Xambrê,Padaria,Igor Bezerra,Amanda Machado,ciclico,2021-08,atrito,
984,Mercadinho Santa Clara 3,Palmeira Torta,Minimercado,Letícia Ferreira,Sérgio Oliveira,mensal,2024-08,normal,
985,Super Doce Lar 2,Vila Cascata,Supermercado,Paulo Correia,Eduardo Cardoso,ciclico,2021-08,normal,
986,Casa de Refeições Veredas 3,Jaraguandu,Restaurante,Leandro Cunha,Amanda Machado,ciclico,2022-12,normal,
987,Distribuidora Xodó,Nova Aurora do Vale,Atacadista,Gabriel Ferreira,André Santos,mensal,2021-08,degrau,2025-12
988,Supermercado Porto Seguro Velho,Quatro Cruzes,Supermercado,Aline Pacheco,Mariana Cunha,mensal,2021-11,normal,
989,Cafeteria Flor de Sal,Figueira Branca,Cafeteria,Wesley Lima,Sérgio Oliveira,mensal,2021-08,normal,
990,Burger Tijuca Velha,Figueira Branca,Hamburgueria,Natália Almeida,Vinícius Barbosa,mensal,2021-10,mix,2025-12
991,Casa de Refeições Fonte Nova 3,Tabuleiro Alto,Restaurante,Letícia Ferreira,Sérgio Oliveira,mensal,2021-08,normal,
992,Minimercado Quintal 2,Encosta Nova,Minimercado,Cláudia Correia,Vinícius Barbosa,mensal,2021-08,sangramento,2025-05
993,Ponto do Lanche Vitória Régia 2,Várzea Comprida,Lanchonete,Aline Andrade,Sérgio Gonçalves,mensal,2022-11,normal,
994,Minimercado Nova Era,Tabuleiro Alto,Minimercado,Aline Duarte,Sérgio Gonçalves,mensal,2021-08,atrito,
995,Eventos Guarani,Palmeira Torta,Buffet e Eventos,Wesley Siqueira,Amanda Machado,ciclico,2025-10,normal,
996,Conveniência Fonte Nova,Nova Aurora do Vale,Loja de Conveniência,Silvana Santos,Mariana Cunha,mensal,2025-11,normal,
997,Lanchonete Moinho,Umbuzeiro,Lanchonete,Aline Pacheco,Mariana Cunha,ciclico,2024-01,atrito,
998,Pizzaria Ouro Fino,Itaquerê,Pizzaria,Elaine Lopes,Vinícius Barbosa,mensal,2021-08,normal,
999,Conveniência Orquídea 2,Passo Ruivo,Loja de Conveniência,Paulo Correia,Eduardo Cardoso,esporadico,2025-04,atrito,
1000,Padaria e Confeitaria Paraíso,Monte Cravo,Padaria,Simone Maia,André Santos,mensal,2022-11,normal,
1001,Casa do Café Maracanã Velho,Serra Cansada,Cafeteria,Aline Almeida,Sérgio Gonçalves,mensal,2021-08,normal,
1002,Supermercado Porto Seguro Velho 2,Porto Bandeira,Supermercado,Aline Andrade,Sérgio Gonçalves,mensal,2023-02,normal,
1003,Ponto do Lanche Primavera,Xambrê,Lanchonete,Joana Medeiros,Vinícius Barbosa,esporadico,2021-08,normal,
1004,Pizza Doce Lar,Piraquara do Oeste,Pizzaria,Sabrina Andrade,Vinícius Barbosa,esporadico,2024-04,normal,
1005,Lanches Nascente,Xambrê,Lanchonete,Gabriel Ferreira,André Santos,ciclico,2024-10,normal,
1006,Lanchonete Candeia,Olho d'Água Grande,Lanchonete,Juliana Pinheiro,Sérgio Gonçalves,esporadico,2021-08,atrito,
1007,Pizzaria Oliveira,Jaraguandu,Pizzaria,Gabriel Ferreira,André Santos,esporadico,2021-08,atrito,
1008,Panificadora Flor de Sal 2,Marimbondo,Padaria,Aline Almeida,Sérgio Gonçalves,mensal,2021-08,atrito,
1009,Café Farol,Várzea Comprida,Cafeteria,Débora Maia,Eduardo Cardoso,ciclico,2024-02,normal,
1010,Super Capim Doce 3,São Braz do Campo,Supermercado,Aline Duarte,Sérgio Gonçalves,ciclico,2022-06,atrito,
1011,Supermercado Cerrado 2,Quatro Cruzes,Supermercado,Nelson Nunes,Eduardo Cardoso,ciclico,2021-08,atrito,
1012,Gelateria Primavera 2,Santa Ilha,Sorveteria,Paulo Camargo,Eduardo Cardoso,esporadico,2022-03,atrito,
1013,Padaria e Confeitaria Bandeirante,Pedra Molhada,Padaria,Flávio Nogueira,Sérgio Oliveira,mensal,2021-08,atrito,
1014,Cantina Ipanema Velha,Várzea Comprida,Restaurante,Patrícia Braga,André Santos,mensal,2024-01,normal,
1015,Burger Varanda,Santa Ilha,Hamburgueria,Carlos Teixeira,Eduardo Cardoso,mensal,2024-01,atrito,
1016,Mercado Cerrado 2,Porto Bandeira,Minimercado,Igor Bezerra,Amanda Machado,esporadico,2021-09,normal,
1017,Lanchonete Varanda,Serra Cansada,Lanchonete,Natália Almeida,Vinícius Barbosa,mensal,2021-08,normal,
1018,Pizzaria Fonte Nova,Ribeira Funda,Pizzaria,Silvana Andrade,Amanda Machado,ciclico,2024-03,normal,
1019,Buffet Ipanema Velha 3,Vista Alegre do Ipê,Buffet e Eventos,Sandra Cardoso,André Santos,mensal,2021-08,normal,
1020,Super Chapada,Pedra Molhada,Supermercado,João Cavalcanti,Eduardo Cardoso,ciclico,2023-11,atrito,
1021,Cantina Pequi 2,Vista Alegre do Ipê,Restaurante,Wesley Lima,Sérgio Oliveira,mensal,2022-06,atrito,
1022,Panificadora Brisa,Alto Sereno,Padaria,Leandro Cunha,Amanda Machado,mensal,2021-08,normal,
1023,Pizza Pinheiro 4,Cravinho do Sul,Pizzaria,Gustavo Vasconcelos,Amanda Machado,esporadico,2021-08,normal,
1024,Panificadora São Jorge,Nova Aurora do Vale,Padaria,Kelly Santos,Eduardo Cardoso,esporadico,2022-03,normal,
1025,Mercado Vitória Régia,Quatro Cruzes,Minimercado,Flávio Nogueira,Sérgio Oliveira,ciclico,2024-12,normal,
1026,Cantina Doce Lar,Vila Aurora,Restaurante,Márcia Sales,Sérgio Oliveira,mensal,2021-08,atrito,
1027,Padaria Jacarandá 3,Tabuleiro Alto,Padaria,Gabriel Ferreira,André Santos,esporadico,2021-08,atrito,
1028,Lanches Bom Retiro 2,Xambrê,Lanchonete,Geraldo Cavalcanti,Mariana Cunha,mensal,2021-08,normal,
1029,Pizzaria Quintal 2,Sertão Novo,Pizzaria,Tatiane Sales,Mariana Cunha,esporadico,2022-12,normal,
1030,Super Jacarandá,Taquaruçu do Meio,Supermercado,Juliana Pinheiro,Sérgio Gonçalves,mensal,2021-08,atrito,
1031,Hamburgueria Dois Irmãos,Jaraguandu,Hamburgueria,Paulo Camargo,Eduardo Cardoso,ciclico,2025-11,normal,
1032,Pizzaria Olaria,Taquaruçu do Meio,Pizzaria,Simone Maia,André Santos,mensal,2021-08,normal,
1033,Panificadora Bom Retiro,Piraquara do Oeste,Padaria,Igor Bezerra,Amanda Machado,esporadico,2021-08,normal,
1034,Café Rio Claro,Passo Ruivo,Cafeteria,Vinícius Carvalho,Amanda Machado,mensal,2021-08,normal,
1035,Casa de Refeições Tijuca Velha 2,Tabuleiro Alto,Restaurante,Sabrina Andrade,Vinícius Barbosa,mensal,2021-08,atrito,
1036,Eventos Veredas 2,Santa Ilha,Buffet e Eventos,Débora Maia,Eduardo Cardoso,esporadico,2021-08,normal,
1037,Cantina Trigal,Fonte Limeira,Restaurante,Natália Almeida,Vinícius Barbosa,mensal,2021-08,degrau,2025-07
1038,Panificadora Moinho 2,Alto Sereno,Padaria,Marcos Bezerra,Amanda Machado,ciclico,2024-10,normal,
1039,Pizzaria Cerrado,Taquaruçu do Meio,Pizzaria,César Araújo,Vinícius Barbosa,esporadico,2021-08,atrito,
1040,Mercadinho Vila Nova,Fonte Limeira,Minimercado,Ricardo Teixeira,Sérgio Gonçalves,esporadico,2021-08,atrito,
1041,Restaurante Cascata 4,Barra do Piraquê,Restaurante,Cláudia Correia,Vinícius Barbosa,ciclico,2021-08,normal,
1042,Sorveteria Candeia,Barra do Piraquê,Sorveteria,Silvana Andrade,Amanda Machado,mensal,2021-08,normal,
1043,Sorveteria Maré Alta,Passo Ruivo,Sorveteria,Igor Bezerra,Amanda Machado,ciclico,2026-01,normal,
1044,Padaria Bom Retiro 2,Guaraúna,Padaria,Paulo Correia,Eduardo Cardoso,ciclico,2024-04,normal,
1045,Buffet Tijuca Velha,Riozinho Claro,Buffet e Eventos,Gabriel Ferreira,André Santos,mensal,2021-08,normal,
1046,Panificadora Serrana 2,Nova Aurora do Vale,Padaria,Vinícius Siqueira,Eduardo Cardoso,esporadico,2021-08,atrito,
1047,Ponto do Lanche Cascata,Campo Ferrugem,Lanchonete,Igor Bezerra,Amanda Machado,mensal,2023-07,normal,
1048,Distribuidora Bela Vista 2,Cravinho do Sul,Atacadista,Emerson Pinheiro,Vinícius Barbosa,mensal,2022-07,atrito,
1049,Minimercado Recanto 2,Três Bicas,Minimercado,Vinícius Carvalho,Amanda Machado,ciclico,2021-10,normal,
1050,Minimercado Sempre Viva 2,Figueira Branca,Minimercado,Tatiane Sales,Mariana Cunha,mensal,2021-08,normal,
1051,Mercadinho Terra Boa,Monte Cravo,Minimercado,Silvana Santos,Mariana Cunha,mensal,2025-07,atrito,
1052,Panificadora Palmeira,Serra Cansada,Padaria,Fernanda Sampaio,Sérgio Gonçalves,mensal,2024-04,normal,
1053,Mercado Raiz Forte,Quatro Cruzes,Minimercado,Wagner Rodrigues,Mariana Cunha,esporadico,2022-01,atrito,
1054,Super Estrela 3,Serra Cansada,Supermercado,César Lopes,Mariana Cunha,mensal,2021-08,normal,
1055,Pizzaria Sossego 3,Quatro Cruzes,Pizzaria,Vanessa Teixeira,Sérgio Gonçalves,esporadico,2025-11,normal,
1056,Pizzaria Sabor Real,Bela Corrente,Pizzaria,Vinícius Siqueira,Eduardo Cardoso,esporadico,2024-09,normal,
1057,Lanches Cravo 2,Quatro Cruzes,Lanchonete,Aline Duarte,Sérgio Gonçalves,mensal,2022-03,atrito,
1058,Casa do Café Rosa dos Ventos,Monte Cravo,Cafeteria,Jorge Sousa,Vinícius Barbosa,mensal,2025-06,atrito,
1059,Super Quintal,Ribeira Funda,Supermercado,Ricardo Teixeira,Sérgio Gonçalves,mensal,2022-04,normal,
1060,Panificadora Palmeira 2,Palmeira Torta,Padaria,Cláudia Miranda,Mariana Cunha,esporadico,2021-08,normal,
1061,Restaurante Lagoa Azul,Piraquara do Oeste,Restaurante,Adriana Xavier,Eduardo Cardoso,ciclico,2021-08,atrito,
1062,Casa de Refeições Terra Boa,Barra do Piraquê,Restaurante,Gabriel Ferreira,André Santos,ciclico,2021-09,normal,
1063,Casa de Refeições São Jorge,Piraquara do Oeste,Restaurante,Aline Almeida,Sérgio Gonçalves,esporadico,2024-02,normal,
1064,Minimercado Varanda 2,Alto Sereno,Minimercado,Silvana Silva,Vinícius Barbosa,esporadico,2021-08,atrito,
1065,Cantina Sol Nascente,Campo Ferrugem,Restaurante,Aline Pacheco,Mariana Cunha,mensal,2021-08,normal,
1066,Hamburgueria Mirante 2,Várzea Comprida,Hamburgueria,Paulo Camargo,Eduardo Cardoso,esporadico,2021-08,normal,
1067,Mercado Santa Clara 3,Umbuzeiro,Minimercado,Jorge Sousa,Vinícius Barbosa,mensal,2022-10,normal,
1068,Mercado Xodó,Taquaruçu do Meio,Minimercado,Sandra Cardoso,André Santos,mensal,2021-08,normal,
1069,Mercado Orquídea 2,Barra do Piraquê,Minimercado,Joana Medeiros,Vinícius Barbosa,mensal,2025-02,normal,
1070,Cafeteria Pedra Alta,Taquaruçu do Meio,Cafeteria,Vanessa Teixeira,Sérgio Gonçalves,mensal,2021-08,normal,
1071,Pizza Umbu 3,Encosta Nova,Pizzaria,Marcos Bezerra,Amanda Machado,mensal,2026-02,normal,
1072,Gelateria Quintal,Nova Aurora do Vale,Sorveteria,Gustavo Fonseca,Mariana Cunha,ciclico,2021-08,normal,
1073,Lanchonete Cerrado 2,São Braz do Campo,Lanchonete,Cláudia Miranda,Mariana Cunha,mensal,2021-08,parada,2025-12
1074,Super Doce Lar 3,Vila Cascata,Supermercado,Roberta Pinheiro,Amanda Machado,ciclico,2021-08,atrito,
1075,Loja Orquídea,Serra Cansada,Loja de Conveniência,André Batista,Sérgio Oliveira,mensal,2021-08,normal,
1076,Panificadora Juriti,Vista Alegre do Ipê,Padaria,Simone Maia,André Santos,mensal,2022-06,atrito,
1077,Ponto do Lanche Farol,Vale Formoso do Norte,Lanchonete,Aline Duarte,Sérgio Gonçalves,mensal,2021-08,atrito,
1078,Gelateria Fonte Nova 2,Porto Bandeira,Sorveteria,Adriana Ferreira,André Santos,esporadico,2021-08,normal,
1079,Pizza Figueira,Tabuleiro Alto,Pizzaria,Emerson Carvalho,Eduardo Cardoso,mensal,2021-08,normal,
1080,Cafeteria Serrana 2,Nova Aurora do Vale,Cafeteria,Geraldo Cavalcanti,Mariana Cunha,ciclico,2021-08,normal,
1081,Loja Maracanã Velho,Porto Bandeira,Loja de Conveniência,Isabela Lopes,Mariana Cunha,mensal,2023-06,atrito,
1082,Açaí Raiz Forte,Lagoa Vermelha do Norte,Açaiteria,Vanessa Teixeira,Sérgio Gonçalves,mensal,2025-04,atrito,
1083,Ponto do Lanche Veredas 2,Serra Cansada,Lanchonete,Cláudia Miranda,Mariana Cunha,mensal,2021-08,normal,
1084,Eventos Palmeira,Vila Cascata,Buffet e Eventos,Simone Maia,André Santos,mensal,2023-09,normal,
1085,Cantina Porto Seguro Velho 2,Vila Cascata,Restaurante,Patrícia Rezende,Mariana Cunha,mensal,2021-08,normal,
1086,Cantina Olaria,Campo Ferrugem,Restaurante,Joana Medeiros,Vinícius Barbosa,esporadico,2021-08,normal,
1087,Mercado Santa Clara 4,Jaraguandu,Minimercado,Rafael Teixeira,Sérgio Oliveira,mensal,2021-10,atrito,
1088,Sorveteria Veredas 2,Vila Cascata,Sorveteria,Igor Bezerra,Amanda Machado,mensal,2021-08,normal,
1089,Panificadora Figueira,Palmeira Torta,Padaria,Renata Cardoso,Sérgio Gonçalves,ciclico,2021-08,normal,
1090,Lanchonete Encanto,Porto Bandeira,Lanchonete,Gustavo Fonseca,Mariana Cunha,ciclico,2024-04,atrito,
1091,Hamburgueria Oliveira,Olho d'Água Grande,Hamburgueria,Isabela Guimarães,André Santos,mensal,2021-08,normal,
1092,Mercado Primavera 2,Cravinho do Sul,Minimercado,Silvana Santos,Mariana Cunha,mensal,2021-08,normal,
1093,Burger Esperança 2,Serra Cansada,Hamburgueria,Débora Faria,Mariana Cunha,mensal,2021-08,normal,
1094,Lanches Pequi 2,Umbuzeiro,Lanchonete,André Cardoso,Vinícius Barbosa,esporadico,2021-08,normal,
1095,Cantina Cascata,Figueira Branca,Restaurante,Igor Bezerra,Amanda Machado,esporadico,2024-05,atrito,
1096,Super Figueira,Riozinho Claro,Supermercado,Aline Almeida,Sérgio Gonçalves,mensal,2021-08,sangramento,2025-12
1097,Super Juriti,São Braz do Campo,Supermercado,Vanessa Teixeira,Sérgio Gonçalves,ciclico,2021-08,normal,
1098,Casa do Café Fonte Nova 2,Quatro Cruzes,Cafeteria,Wagner Martins,Amanda Machado,esporadico,2021-08,normal,
1099,Panificadora Tamarindo 2,Lagoa Vermelha do Norte,Padaria,Wagner Braga,Sérgio Gonçalves,ciclico,2021-08,normal,
1100,Lanchonete Esperança,Figueira Branca,Lanchonete,Leandro Cunha,Amanda Machado,mensal,2026-01,normal,
1101,Padaria e Confeitaria Paraíso 2,Alto Sereno,Padaria,Simone Maia,André Santos,mensal,2021-08,atrito,
1102,Padaria Tijuca Velha,Bela Corrente,Padaria,César Araújo,Vinícius Barbosa,mensal,2024-11,normal,
1103,Açaí Raiz Forte 2,Riozinho Claro,Açaiteria,Aline Almeida,Sérgio Gonçalves,esporadico,2023-06,normal,
1104,Panificadora Capim Doce,São Braz do Campo,Padaria,Paulo Correia,Eduardo Cardoso,mensal,2021-08,normal,
1105,Mercadinho Bela Vista,São Braz do Campo,Minimercado,Lucas Braga,André Santos,esporadico,2022-02,atrito,
1106,Loja Farol 2,Lagoa Vermelha do Norte,Loja de Conveniência,Igor Rodrigues,Eduardo Cardoso,mensal,2025-06,atrito,
1107,Minimercado Esperança,Taquaruçu do Meio,Minimercado,Joana Medeiros,Vinícius Barbosa,mensal,2021-08,normal,
1108,Cafeteria Girassol,Marimbondo,Cafeteria,Isabela Guimarães,André Santos,mensal,2022-01,normal,
1109,Açaí Sol Nascente,Ribeira Funda,Açaiteria,Juliana Pinheiro,Sérgio Gonçalves,mensal,2025-10,normal,
1110,Panificadora Nascente 2,Fonte Limeira,Padaria,Silvana Santos,Mariana Cunha,mensal,2023-03,normal,
1111,Casa de Refeições Central 2,Quatro Cruzes,Restaurante,Wesley Lima,Sérgio Oliveira,mensal,2021-08,normal,
1112,Supermercado Maré Alta,Xambrê,Supermercado,César Araújo,Vinícius Barbosa,mensal,2024-10,atrito,
1113,Pizzaria Figueira 3,Bela Corrente,Pizzaria,Gabriel Ferreira,André Santos,ciclico,2023-04,normal,
1114,Café Ponte Velha,Vila Aurora,Cafeteria,Vinícius Siqueira,Eduardo Cardoso,ciclico,2024-08,normal,
1115,Hamburgueria Nascente,Jaraguandu,Hamburgueria,Gabriel Ferreira,André Santos,ciclico,2021-12,normal,
1116,Mercadinho Juriti 2,Jaraguandu,Minimercado,Paulo Correia,Eduardo Cardoso,mensal,2021-08,normal,
1117,Padaria Nascente 2,Umbuzeiro,Padaria,Gabriel Ferreira,André Santos,mensal,2021-09,normal,
1118,Casa de Refeições Nascente,Bela Corrente,Restaurante,Márcia Sales,Sérgio Oliveira,mensal,2024-03,normal,
1119,Cantina Sempre Viva,Piraquara do Oeste,Restaurante,Diego Martins,Sérgio Gonçalves,ciclico,2023-10,normal,
1120,Loja Ipanema Velha,Jaraguandu,Loja de Conveniência,Helena Vieira,Amanda Machado,mensal,2025-03,normal,
1121,Minimercado Doce Lar,Guaraúna,Minimercado,Vanessa Teixeira,Sérgio Gonçalves,mensal,2025-03,normal,
1122,Restaurante Veredas 3,Fonte Limeira,Restaurante,Raquel Ferreira,Vinícius Barbosa,esporadico,2022-08,normal,
1123,Cantina Recanto,Jaraguandu,Restaurante,Sabrina Andrade,Vinícius Barbosa,mensal,2026-03,normal,
1124,Super Cerrado,Nova Aurora do Vale,Supermercado,Murilo Alves,André Santos,mensal,2022-02,atrito,
1125,Pizza Maré Alta,Serra Cansada,Pizzaria,Leandro Cunha,Amanda Machado,ciclico,2021-08,normal,
1126,Mercadinho Palmeira,Vale Formoso do Norte,Minimercado,Wesley Lima,Sérgio Oliveira,mensal,2021-12,normal,
1127,Pizzaria Raiz Forte,Porto Bandeira,Pizzaria,Vinícius Carvalho,Amanda Machado,mensal,2021-08,mix,2025-10
1128,Padaria Moinho 2,Olho d'Água Grande,Padaria,Paulo Correia,Eduardo Cardoso,ciclico,2021-08,normal,
1129,Super Maracanã Velho,Piraquara do Oeste,Supermercado,Débora Nunes,Sérgio Gonçalves,mensal,2021-08,mix,2025-09
1130,Cantina Cascata 2,Palmeira Torta,Restaurante,Marcos Bezerra,Amanda Machado,ciclico,2021-08,normal,
1131,Minimercado Bela Vista,Vale Formoso do Norte,Minimercado,Débora Faria,Mariana Cunha,esporadico,2021-08,normal,
1132,Loja Terra Boa 2,Porto Bandeira,Loja de Conveniência,Gustavo Fonseca,Mariana Cunha,mensal,2021-08,normal,
1133,Atacado Maracanã Velho,Encosta Nova,Atacadista,Wesley Lima,Sérgio Oliveira,ciclico,2024-10,atrito,
1134,Açaí Brisa,Jaraguandu,Açaiteria,André Batista,Sérgio Oliveira,esporadico,2022-01,normal,
1135,Gelateria Chapada,Campo Ferrugem,Sorveteria,César Lopes,Mariana Cunha,ciclico,2026-04,normal,
1136,Mercado Jacarandá,Vila Cascata,Minimercado,Aline Almeida,Sérgio Gonçalves,mensal,2021-12,parada,2025-11
1137,Minimercado Serrana,Bela Corrente,Minimercado,Patrícia Braga,André Santos,ciclico,2021-08,normal,
1138,Mercadinho Vale Verde 2,Barra do Piraquê,Minimercado,Débora Faria,Mariana Cunha,mensal,2021-08,atrito,
1139,Burger Nascente,Vale Formoso do Norte,Hamburgueria,Aline Araújo,André Santos,mensal,2025-01,normal,
1140,Panificadora Dois Irmãos,Tabuleiro Alto,Padaria,Vanessa Teixeira,Sérgio Gonçalves,mensal,2025-06,normal,
1141,Açaí Brisa 2,Sertão Novo,Açaiteria,Cláudia Correia,Vinícius Barbosa,mensal,2021-08,sangramento,2025-04
1142,Açaí Vila Nova,Bela Corrente,Açaiteria,Helena Vieira,Amanda Machado,ciclico,2021-08,atrito,
1143,Supermercado Ipanema Velha,Figueira Branca,Supermercado,César Lopes,Mariana Cunha,mensal,2024-10,normal,
1144,Lanchonete Tamarindo 2,Serra Cansada,Lanchonete,Leandro Cunha,Amanda Machado,ciclico,2021-08,normal,
1145,Padaria Tijuca Velha 2,Umbuzeiro,Padaria,César Araújo,Vinícius Barbosa,mensal,2021-08,normal,
1146,Casa de Refeições Quintal,Pedra Molhada,Restaurante,Lucas Braga,André Santos,esporadico,2022-02,atrito,
1147,Açaiteria Maré Alta 2,Taquaruçu do Meio,Açaiteria,Joana Medeiros,Vinícius Barbosa,esporadico,2024-07,atrito,
1148,Gelateria Oliveira 2,Várzea Comprida,Sorveteria,Flávio Nogueira,Sérgio Oliveira,mensal,2022-06,parada,2025-10
1149,Eventos Jatobá,Bela Corrente,Buffet e Eventos,Jaqueline Alves,Sérgio Oliveira,ciclico,2022-11,atrito,
1150,Super Girassol 3,Vila Cascata,Supermercado,Viviane Soares,Mariana Cunha,mensal,2025-02,normal,
1151,Distribuidora Guarani,Cravinho do Sul,Atacadista,Sandra Cardoso,André Santos,esporadico,2026-03,normal,
1152,Sorveteria Farol,Campo Ferrugem,Sorveteria,Geraldo Cavalcanti,Mariana Cunha,esporadico,2024-09,atrito,
1153,Mercadinho Jatobá 2,Ribeira Funda,Minimercado,Jorge Sousa,Vinícius Barbosa,esporadico,2021-08,normal,
1154,Lanchonete Encanto 2,São Braz do Campo,Lanchonete,Sandra Cardoso,André Santos,mensal,2021-08,mix,2025-12
1155,Mercado Rio Claro 2,Jaraguandu,Minimercado,Helena Gonçalves,André Santos,mensal,2023-04,normal,
1156,Padaria e Confeitaria Vila Nova,Sertão Novo,Padaria,Tatiane Sales,Mariana Cunha,ciclico,2022-03,normal,
1157,Pizzaria Primavera,Taquaruçu do Meio,Pizzaria,Murilo Alves,André Santos,esporadico,2025-10,normal,
1158,Supermercado Recanto 2,Porto Bandeira,Supermercado,Rafael Teixeira,Sérgio Oliveira,esporadico,2021-08,atrito,
1159,Açaiteria Quintal,Marimbondo,Açaiteria,Joana Medeiros,Vinícius Barbosa,mensal,2021-08,normal,
1160,Lanches Moinho 2,Itaquerê,Lanchonete,Cláudia Correia,Vinícius Barbosa,esporadico,2025-04,normal,
1161,Minimercado Umbu,Encosta Nova,Minimercado,Nelson Nunes,Eduardo Cardoso,mensal,2024-02,normal,
1162,Café Nova Era,Barra do Piraquê,Cafeteria,Cláudia Correia,Vinícius Barbosa,esporadico,2021-08,normal,
1163,Padaria e Confeitaria Horizonte 2,Itaquerê,Padaria,Patrícia Rezende,Mariana Cunha,mensal,2021-08,parada,2025-07
1164,Cantina Vale Verde,Vila Cascata,Restaurante,Renata Cardoso,Sérgio Gonçalves,mensal,2025-02,normal,
1165,Hamburgueria Fonte Nova,Riozinho Claro,Hamburgueria,Aline Duarte,Sérgio Gonçalves,esporadico,2021-08,normal,
1166,Hamburgueria Quintal 2,Ipê Sereno,Hamburgueria,Daniel Mendes,André Santos,mensal,2021-08,atrito,
1167,Mercado Varanda 3,Riozinho Claro,Minimercado,Raquel Ferreira,Vinícius Barbosa,mensal,2024-04,normal,
1168,Casa de Refeições Doce Lar,Palmeira Torta,Restaurante,Sandra Cardoso,André Santos,ciclico,2021-08,atrito,
1169,Sorveteria Vitória Régia,Xambrê,Sorveteria,Aline Duarte,Sérgio Gonçalves,ciclico,2024-06,normal,
1170,Casa do Café Pitanga,Guaraúna,Cafeteria,Aline Almeida,Sérgio Gonçalves,mensal,2022-02,normal,
1171,Café Porto Seguro Velho,Xambrê,Cafeteria,Helena Gonçalves,André Santos,mensal,2024-12,normal,
1172,Cantina Vila Nova,Nova Aurora do Vale,Restaurante,Cláudia Correia,Vinícius Barbosa,mensal,2022-01,atrito,
1173,Distribuidora Chapada,Ipê Sereno,Atacadista,Isabela Lopes,Mariana Cunha,ciclico,2021-08,atrito,
1174,Hamburgueria Ouro Fino,Cravinho do Sul,Hamburgueria,Igor Bezerra,Amanda Machado,ciclico,2025-04,normal,
1175,Conveniência Varanda,Tabuleiro Alto,Loja de Conveniência,Vanessa Teixeira,Sérgio Gonçalves,mensal,2023-11,atrito,
1176,Mercado Vila Nova 3,Figueira Branca,Minimercado,Adriana Ferreira,André Santos,ciclico,2021-08,atrito,
1177,Lanchonete Ponte Velha,Vale Formoso do Norte,Lanchonete,Sandra Cardoso,André Santos,mensal,2022-08,normal,
1178,Pizzaria Vila Nova,Tabuleiro Alto,Pizzaria,Gustavo Fonseca,Mariana Cunha,mensal,2021-08,atrito,
1179,Padaria Juriti,Barra do Piraquê,Padaria,Aline Almeida,Sérgio Gonçalves,mensal,2024-11,atrito,
1180,Super Bela Vista,Vista Alegre do Ipê,Supermercado,Sandra Cardoso,André Santos,ciclico,2021-08,normal,
1181,Lanchonete Pedra Alta,Cravinho do Sul,Lanchonete,Silvana Silva,Vinícius Barbosa,mensal,2021-08,atrito,
1182,Padaria Lagoa Azul,Nova Aurora do Vale,Padaria,Wesley Siqueira,Amanda Machado,esporadico,2021-08,normal,
1183,Super Farol,Olho d'Água Grande,Supermercado,Marcos Almeida,Sérgio Oliveira,mensal,2025-02,normal,
1184,Super Sossego,Xambrê,Supermercado,Igor Batista,Amanda Machado,ciclico,2021-08,normal,
1185,Casa de Refeições Veredas 4,Bela Corrente,Restaurante,Sandra Mendes,Sérgio Gonçalves,esporadico,2021-08,atrito,
1186,Casa de Refeições Rio Claro,Pedra Molhada,Restaurante,Paulo Correia,Eduardo Cardoso,mensal,2021-08,normal,
1187,Mercadinho Moinho 3,Porto Bandeira,Minimercado,Vanessa Teixeira,Sérgio Gonçalves,ciclico,2021-08,normal,
1188,Hamburgueria Brisa,Quatro Cruzes,Hamburgueria,Aline Duarte,Sérgio Gonçalves,mensal,2022-10,atrito,
1189,Café Sempre Viva,Vila Cascata,Cafeteria,Joana Medeiros,Vinícius Barbosa,esporadico,2021-08,normal,
1190,Burger Rosa dos Ventos,Fonte Limeira,Hamburgueria,Cláudia Correia,Vinícius Barbosa,mensal,2022-09,normal,
1191,Mercado Raiz Forte 2,Pedra Molhada,Minimercado,Emerson Carvalho,Eduardo Cardoso,mensal,2024-09,normal,
